id,age_in_years,neighbourhood,beds,daily_rev_per_2_guests,review_scores_rating,total_rev
836528,4.59,De Baarsjes - Oud-West,1,69,98,4968
4524356,4.59,Bos en Lommer,1,80,100,320
1397086,4.59,Slotervaart,3,70,100,840
3957421,4.59,Centrum-Oost,1,235,99,15980
1567891,4.59,Zuid,2,75,97,12000
839167,4.59,Zuid,1,130,97,12480
839727,4.59,Noord-Oost,7,300,100,3600
840091,4.59,De Pijp - Rivierenbuurt,2,150,79,26400
840198,4.59,Centrum-West,1,150,98,8400
2962310,4.59,Centrum-Oost,2,149,100,894
841419,4.58,De Pijp - Rivierenbuurt,1,125,100,2000
842514,4.58,Zuid,5,180,100,3240
3450188,4.58,Centrum-West,1,125,91,11000
843138,4.58,Centrum-West,1,150,95,28800
2408774,4.58,Watergraafsmeer,1,57,96,9234
843475,4.58,Centrum-Oost,1,169,94,15548
2470133,4.58,De Pijp - Rivierenbuurt,1,90,83,360
1077920,4.57,Westerpark,1,100,94,17200
995087,4.57,Westerpark,2,75,90,10350
2169363,4.57,Zuid,1,65,97,780
1812527,4.57,Watergraafsmeer,5,140,97,1400
846281,4.57,Centrum-West,1,85,91,28220
846458,4.57,De Baarsjes - Oud-West,2,220,97,21120
1592204,4.57,De Baarsjes - Oud-West,1,100,83,200
847154,4.57,Oud-Oost,1,107,96,8132
847573,4.57,Centrum-Oost,2,158,95,12324
1491346,4.57,Oostelijk Havengebied - Indische Buurt,1,90,93,10800
2782867,4.57,Zuid,1,89,100,2492
2517394,4.57,Oud-Noord,1,79,72,790
4839089,4.57,Centrum-Oost,1,90,100,360
869116,4.57,Centrum-Oost,1,105,93,13230
1449631,4.57,Westerpark,1,130,98,4420
1121218,4.57,IJburg - Zeeburgereiland,9,300,92,36000
1008223,4.57,Slotervaart,1,49,88,10976
851044,4.57,Zuid,3,95,95,28690
4721855,4.56,Westerpark,4,145,100,580
852882,4.56,Zuid,1,110,97,7920
4232124,4.56,De Baarsjes - Oud-West,1,69,95,12420
1018639,4.56,Centrum-Oost,1,125,92,7500
856231,4.56,Oud-Oost,1,119,97,6664
968724,4.56,Oud-Oost,1,99,95,17820
1036888,4.55,Westerpark,1,85,95,7820
3095964,4.55,Oud-Oost,2,130,87,8580
858666,4.55,Oostelijk Havengebied - Indische Buurt,2,120,98,43200
3780448,4.54,De Baarsjes - Oud-West,2,85,100,1020
1601017,4.54,De Pijp - Rivierenbuurt,1,99,91,5544
860014,4.54,Zuid,1,125,97,7500
861480,4.54,Centrum-Oost,1,120,97,51840
1986095,4.54,Bos en Lommer,1,70,85,560
862411,4.54,Centrum-West,1,160,97,12800
862432,4.54,Centrum-West,1,109,98,8502
